sample,reads,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
SHEF-CAAD7,500000,S,538883,71|72|73,7770,56,37,4,1441.87142663621,24.3580261270263,16.0236552644004,1.5147899382896,41.8964713297163,10.3918661379186,6.86605441255338,0.742276152708473,18.0001967031805
SHEF-CAAD7,500000,ORF3a,538883,84,3074,0,0,2,570.439223356461,0,0,0.650618087182824,0.650618087182824,0,0,0.371138076354236,0.371138076354236
SHEF-CAAD7,500000,E,538883,86|87|88,13268,31,10,79,2462.12999853401,13.0231732850704,4.3010752688172,33.5301621431231,50.8544106970107,5.75264018349067,1.85569038177118,14.6599540159923,22.2682845812542
SHEF-CAAD7,500000,M,538883,87|88,5961,265,106,11,1106.1770365738,112.427694382341,45.126157777068,4.73118279569892,162.285034955108,49.1757951169363,19.6703180467745,2.0412594199483,70.8873725836592
SHEF-CAAD7,500000,ORF6,538883,89|90|92,3292,58,32,4,610.893273679073,132.845249575367,74.1196411687383,7.61132762954593,214.576218373651,10.7630042142729,5.93820922166778,0.742276152708473,17.4434895886491
SHEF-CAAD7,500000,ORF7a,538883,91,622,0,1,0,115.423941746168,0,1.60771704180064,0,1.60771704180064,0,0.185569038177118,0,0.185569038177118
SHEF-CAAD7,500000,ORF8,538883,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,500000,N,538883,93|94|95,15563,465,238,41,2888.01094115049,50.7177624007349,25.9511216769787,4.43374560397567,81.1026296816893,86.28960275236,44.1654310861541,7.60833056526185,138.063364403776
SHEF-CAAD7,500000,N*,538883,95,2389,0,0,1,443.324432205135,0,0,0.418585182084554,0.418585182084554,0,0,0.185569038177118,0.185569038177118
SHEF-CAAD7,500000,ORF10,538883,97,4949,0,0,2,918.381169938558,0,0,0.404122044857547,0.404122044857547,0,0,0.371138076354236,0.371138076354236
SHEF-CAAD7,50000,ORF1a,53823,1|2,546,608,274,39,1014.43620756925,25728.1569540278,11622.0799733976,1695.65217391304,39045.8891013384,1129.62859743976,509.076045556732,72.4597291120896,1711.16437210858
SHEF-CAAD7,50000,S,53823,71,199,4,0,1,369.730412648868,20.1005025125628,0,5.0251256281407,25.1256281407035,7.43176708841945,0,1.85794177210486,9.28970886052431
SHEF-CAAD7,50000,ORF3a,53823,84,308,0,0,1,572.246065808298,0,0,3.24675324675325,3.24675324675325,0,0,1.85794177210486,1.85794177210486
